dataset,column,rows,missing_rows,missing_percentage
03_document_intelligence_eda.csv,document_type,91,0,0.00%
03_document_intelligence_eda.csv,token_index,91,0,0.00%
03_document_intelligence_eda.csv,token,91,0,0.00%
03_document_intelligence_eda.csv,x0,91,0,0.00%
03_document_intelligence_eda.csv,y0,91,0,0.00%
03_document_intelligence_eda.csv,x1,91,0,0.00%
03_document_intelligence_eda.csv,y1,91,0,0.00%
03_document_intelligence_eda.csv,entity_label,91,0,0.00%
03_document_intelligence_eda.csv,linked_token_ids,91,0,0.00%
03_document_intelligence_eda.csv,key,91,32,35.16%
03_document_intelligence_eda.csv,value,91,33,36.26%
04_trade_risk_eda.csv,reporter_iso3,61440,0,0.00%
04_trade_risk_eda.csv,partner_iso3,61440,0,0.00%
04_trade_risk_eda.csv,hs6,61440,0,0.00%
04_trade_risk_eda.csv,period,61440,0,0.00%
04_trade_risk_eda.csv,trade_value_usd,61440,0,0.00%
04_trade_risk_eda.csv,quantity,61440,0,0.00%
04_trade_risk_eda.csv,net_weight_kg,61440,0,0.00%
04_trade_risk_eda.csv,unit_value,61440,0,0.00%
04_trade_risk_eda.csv,trade_growth,61440,0,0.00%
04_trade_risk_eda.csv,yoy_growth,61440,0,0.00%
04_trade_risk_eda.csv,partner_share,61440,0,0.00%
04_trade_risk_eda.csv,partner_share_change,61440,0,0.00%
04_trade_risk_eda.csv,mirror_trade_value,61440,0,0.00%
04_trade_risk_eda.csv,mirror_ratio,61440,0,0.00%
04_trade_risk_eda.csv,mirror_difference,61440,0,0.00%
04_trade_risk_eda.csv,mirror_missing_flag,61440,0,0.00%
04_trade_risk_eda.csv,gdp,61440,6912,11.25%
04_trade_risk_eda.csv,gdp_per_capita,61440,6912,11.25%
04_trade_risk_eda.csv,gdp_growth,61440,6912,11.25%
04_trade_risk_eda.csv,inflation,61440,6912,11.25%
04_trade_risk_eda.csv,population,61440,6912,11.25%
04_trade_risk_eda.csv,trade_pct_gdp,61440,6912,11.25%
04_trade_risk_eda.csv,tariff_rate,61440,0,0.00%
04_trade_risk_eda.csv,tariff_type,61440,0,0.00%
04_trade_risk_eda.csv,tariff_year,61440,0,0.00%
04_trade_risk_eda.csv,rta_exists,61440,0,0.00%
04_trade_risk_eda.csv,rta_name,61440,5376,8.75%
04_trade_risk_eda.csv,rta_status,61440,11520,18.75%
04_trade_risk_eda.csv,rta_entry_into_force,61440,32256,52.50%
04_trade_risk_eda.csv,rta_type,61440,11520,18.75%
04_trade_risk_eda.csv,sanctions_entity_count,61440,0,0.00%
04_trade_risk_eda.csv,ofac_entity_count,61440,0,0.00%
04_trade_risk_eda.csv,gleif_entity_count,61440,0,0.00%
04_trade_risk_eda.csv,gleif_active_entity_count,61440,0,0.00%
04_trade_risk_eda.csv,partner_locode_count,61440,0,0.00%
04_trade_risk_eda.csv,partner_port_count,61440,0,0.00%
04_trade_risk_eda.csv,partner_airport_count,61440,0,0.00%
04_trade_risk_eda.csv,partner_inland_terminal_count,61440,0,0.00%
04_trade_risk_eda.csv,scomet_mapping_status,61440,0,0.00%
05_rag_evidence.csv,evidence_id,23,0,0.00%
05_rag_evidence.csv,source_type,23,0,0.00%
05_rag_evidence.csv,source_name,23,0,0.00%
05_rag_evidence.csv,source_url,23,0,0.00%
05_rag_evidence.csv,source_record_id,23,0,0.00%
05_rag_evidence.csv,country_iso3,23,0,0.00%
05_rag_evidence.csv,hs_code,23,20,86.96%
05_rag_evidence.csv,entity_id,23,11,47.83%
05_rag_evidence.csv,title,23,0,0.00%
05_rag_evidence.csv,text,23,0,0.00%
05_rag_evidence.csv,claim_type,23,0,0.00%
05_rag_evidence.csv,date,23,0,0.00%
05_rag_evidence.csv,retrieved_at,23,0,0.00%
05_rag_evidence.csv,citation,23,0,0.00%
