Model,iso3,n,MAE,RMSE,WAPE_pct,sMAPE_pct,MAPE_pct,R2
Moving Average (3-year),IDN,80,601163.971875,762506.9441941724,23.342008447941552,24.428714662960253,27.32302267416208,-0.0170467178168916
Moving Average (3-year),FRA,80,1853323.840625,2229720.223413262,26.630726936551703,28.000699582302353,27.153692156416664,-0.4159464316336494
Moving Average (3-year),DEU,80,2520356.6375,3079225.840895918,26.621815773919437,27.99010977794989,29.61606631796717,-0.2754460414279123
Moving Average (3-year),NLD,80,624247.4484375,767719.5922126858,29.029952463992426,31.218037124132124,31.321047425572296,-0.3418654938119956
Linear trend (OLS on 5 steps),ARE,80,370446.5353242791,461870.18455642875,36.9414742343991,35.7719928678495,40.301112157807495,-1.5186168265762392
Linear trend (OLS on 5 steps),AUS,80,1055885.039104494,1363832.479378406,35.30706911085677,35.47903155520725,39.83799735417402,-1.1909344076891908
Linear trend (OLS on 5 steps),CHN,80,12230226.761074368,15285730.77802429,37.26661688783322,37.11638159825177,41.19358914814903,-1.333039632865698
Linear trend (OLS on 5 steps),BRA,80,1571810.5124383024,1938847.3298158462,37.760656428953595,36.50107308763514,39.55317013753804,-1.2340483550279209
Linear trend (OLS on 5 steps),CAN,80,1236848.2323934096,1482742.3758453103,31.007591190490263,31.56323952291261,34.072518945239295,-0.7815115612072272
Linear trend (OLS on 5 steps),GBR,80,2253186.274132223,2783227.43522103,35.32872424018913,34.69827523231624,40.78740062204066,-1.8621601336297164
Linear trend (OLS on 5 steps),IDN,80,781850.7091836229,1016573.763845383,30.357717216273787,30.08584013427026,35.146691955804584,-0.8077196979091217
Linear trend (OLS on 5 steps),FRA,80,2425212.84323381,2911616.326684951,34.8482977316029,36.14917737389894,36.8532106345552,-1.414428614856003
Linear trend (OLS on 5 steps),DEU,80,3227828.4397216886,4131813.145259236,34.09464073200578,33.31822619175206,39.44477971232742,-1.2964677498022907
Linear trend (OLS on 5 steps),NLD,80,731421.0217488906,895034.7059264611,34.013943582279516,35.93649993360329,37.351917612155695,-0.8238263626692084
Production fallback (MA3 x 1.05),ARE,80,291460.86171875,347884.96158765274,29.064906502887982,29.811846297715068,32.58961882704134,-0.4288727559490386
Production fallback (MA3 x 1.05),AUS,80,875285.7953125,1058690.2711472118,29.26812571665894,29.18914587970046,33.24981612971234,-0.3202165186727093
Production fallback (MA3 x 1.05),CHN,80,9609379.75,11556081.415804114,29.28065690594721,29.857843723647825,33.19042050052355,-0.3334320510047122
Production fallback (MA3 x 1.05),BRA,80,1224232.90625,1465909.9236178745,29.4105668565696,29.808262991844348,31.572831032092864,-0.277085320579487
Production fallback (MA3 x 1.05),CAN,80,1015336.76875,1205805.049471797,25.454333540300816,26.468752036744426,28.140677155953686,-0.17817944685680076
Production fallback (MA3 x 1.05),GBR,80,1758967.259375,2086071.1066222482,27.579641313904947,28.545103526623546,31.61350261488762,-0.6078841366206675
Production fallback (MA3 x 1.05),IDN,80,597739.946875,774955.7730112545,23.209060326937752,24.125098190069636,28.41939129307788,-0.05052678990226345
Production fallback (MA3 x 1.05),FRA,80,1801506.921875,2160444.466853273,25.886160777267104,26.86793214053816,27.31066553936391,-0.32932842849989297
Production fallback (MA3 x 1.05),DEU,80,2495420.525,3064135.2267288603,26.358422655971175,27.368325198580596,30.468496776916165,-0.26297530899534216
Production fallback (MA3 x 1.05),NLD,80,612294.6703125,750317.4840551263,28.47410144425672,30.34167255549725,31.95807377064186,-0.2817220932868103
Dual-Head GRU (raw),ARE,80,346010.069921875,431507.5291556057,34.50463390532846,37.867197413172036,30.527465116675824,-1.1983609484143565
Dual-Head GRU (raw),AUS,80,982966.3703125,1288729.3660797246,32.86878806399763,37.6977937892777,31.72683045987967,-0.9562788865788643
Dual-Head GRU (raw),CHN,80,21050354.97734375,23822790.4222942,64.14235235526003,96.93450142481844,61.4507991684671,-4.666761886050311
Dual-Head GRU (raw),BRA,80,1432557.68203125,1765326.0101313742,34.4152924400062,40.57456054598383,34.32992736822729,-0.8520605600242943
Dual-Head GRU (raw),CAN,80,1484715.92109375,1803517.0893881007,37.22159526896899,44.785191530087275,34.861866523487514,-1.635710881827443
Dual-Head GRU (raw),GBR,80,2609943.62265625,3172743.5285485056,40.92248367826335,50.46029340209688,37.451736190394016,-2.7193450343483203
Dual-Head GRU (raw),IDN,80,745227.540625,912847.4587445093,28.935711989946768,32.92940073991856,32.30584282966459,-0.45763812197040066
Dual-Head GRU (raw),FRA,80,3111626.2078125,3672436.2914749077,44.71148865215476,55.76646456358577,41.13907239863514,-2.841091197372639
Dual-Head GRU (raw),DEU,80,4552133.5328125,5326818.9199150875,48.08290163610444,61.767772500078046,44.017667494702906,-2.816935947329361
Dual-Head GRU (raw),NLD,80,797011.5421875,945900.5917215521,37.06415979892136,42.33818805541393,35.89212702822876,-1.0370173662101152
Dual-Head GRU + prod guardrails,ARE,80,346010.069921875,431507.5291556057,34.50463390532846,37.867197413172036,30.527465116675824,-1.1983609484143565
Dual-Head GRU + prod guardrails,AUS,80,982966.3703125,1288729.3660797246,32.86878806399763,37.6977937892777,31.72683045987967,-0.9562788865788643
Dual-Head GRU + prod guardrails,CHN,80,21050354.97734375,23822790.4222942,64.14235235526003,96.93450142481844,61.4507991684671,-4.666761886050311
Dual-Head GRU + prod guardrails,BRA,80,1432557.68203125,1765326.0101313742,34.4152924400062,40.57456054598383,34.32992736822729,-0.8520605600242943
